parcelid,address,muni,lat,lon,tract
0016P00204000000,1401 METHYL ST PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.414216966560765,-80.025563379763256,191600
0016P00065000000,1407 BELASCO AVE PITTSBURGH PA 15216,19TH WARD - PITTSBURGH,40.413905838339637,-80.027340644950868,191600
0015B00316000000,215 ALBERT ST PITTSBURGH PA 15211,19TH WARD - PITTSBURGH,40.423057558411180,-80.009261248352530,191500
0015B00170000000,244 LELIA ST PITTSBURGH PA 15211,19TH WARD - PITTSBURGH,40.421476947779894,-80.008710583744900,191500
0015B00026000000,241 SOUTHERN AVE PITTSBURGH PA 15211,19TH WARD - PITTSBURGH,40.423315553348118,-80.011175571722333,191500
0015A00228000000,4 LELIA ST PITTSBURGH PA 15211,19TH WARD - PITTSBURGH,40.421713568369135,-80.012050877224326,191500
0014S00236000000,0 PENN AVE PITTSBURGH PA 15210,MT. OLIVER,40.414197156092904,-79.986667804932580,481000
0014K00235000000,204 JUCUNDA ST PITTSBURGH PA 15210,30TH WARD - PITTSBURGH,40.417098305659010,-79.991236022711817,300100
0014K00017000000,750 LILLIAN ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.418533005404683,-79.993688062712891,180300
0014H00164000000,2603 QUARRY ST PITTSBURGH PA 15210,17TH WARD - PITTSBURGH,40.420569202858516,-79.984599453275138,170600
0014H00016000000,0 S 18TH ST PITTSBURGH PA 15210,17TH WARD - PITTSBURGH,40.420681387036190,-79.986683500377893,170600
0014G00247000000,984 INDUSTRY ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.420691555611342,-79.988471709980374,180300
0014G00193000000,911 CLIMAX ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.420261267460468,-79.989937720348067,180300
0014G00106000000,67 E AMANDA AVE PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.419105884046168,-79.988368449020584,180300
0014E00292000000,405 MILLBRIDGE ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.418896972639040,-79.995460315972210,180300
0014B00204000000,840 CERES WAY PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.423149268569077,-79.992191234194351,180300
0014B00065000000,722 EXCELSIOR ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.422627193698638,-79.994927242600113,180300
0014B00012000000,19 ALLEN ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.423502210646610,-79.994006106019341,180300
0014A00014000000,449 WINTON ST PITTSBURGH PA 15211,18TH WARD - PITTSBURGH,40.423279272512517,-79.998622991687611,180700
0013L00063000000,2314 SALISBURY ST PITTSBURGH PA 15210,16TH WARD - PITTSBURGH,40.418685665509514,-79.973358862288933,160800
0013L00053000000,2318 ECCLES ST PITTSBURGH PA 15210,16TH WARD - PITTSBURGH,40.417970598249219,-79.973490191043894,160800
0013G00321000000,2325 SALISBURY ST PITTSBURGH PA 15210,16TH WARD - PITTSBURGH,40.418994115758927,-79.972929680951992,160800
0013F00173000A00,1400 FERNLEAF ST PITTSBURGH PA 15210,16TH WARD - PITTSBURGH,40.419164283546813,-79.975780959903673,160800
0013D00298000000,2820-2822 EDWARDS WAY PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.423517514031239,-79.967724112982410,160800
0013A00054000000,2006 GREGORY ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.423562376956959,-79.978947707008729,170600
0012S00192000000,2816 MARY ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.423859922274751,-79.967654782825889,160800
0012S00125000000,2830 LARKINS WAY PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.424657484291792,-79.966226896071859,160900
0012S00066000000,44 S 27TH ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.425633025819820,-79.967935186564375,160900
0012R00070021300,2250 MARY ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.425428855022730,-79.974471761311136,160900
0012P00071001000,1962 JOSEPHINE ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.424841712387867,-79.978215881655288,170600
0012N00207000000,33 GREGORY ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.424191034585490,-79.980171917543146,170600
0012N00205000000,128 PIUS ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.424288815743765,-79.980261072679966,170600
0012N0018000P400,66 PIUS ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.424249876370077,-79.982273548487271,170600
0012N00135000001,113 PIUS ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.424633926551699,-79.980684132858926,170600
0012L00314000000,2411 JANE ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.426517251724434,-79.971061227245741,160900
0012L00306000000,116 S 25TH ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.426505334627691,-79.970676507462514,160900
0012L00070000000,2219 JANE ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.426727901718401,-79.973925146415993,160900
0012K00199003E00,130 S 22ND ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.426767860866740,-79.974939399943793,160900
0012K00199001F00,130 S 22ND ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.426857385199220,-79.975003483399917,160900
0012K00178000300,2132 SARAH ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.427224564614008,-79.975046939566994,160900
0012J00423000000,1911 JANE ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.427013726235629,-79.978779608056101,170200
0012J00249010600,156 S 19TH ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426183141595338,-79.979911671217565,170200
0012J002470RU200,148 S 19TH ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426355242969990,-79.979573295620838,170200
0012J002470CU200,1817 MARY ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426177454787251,-79.980040647574540,170200
0012J00242000000,1807 MARY ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426214949154669,-79.980459072980523,170200
0012J00173000000,1714 LARKINS WAY PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.427333706216423,-79.981541679745376,170200
0012J00148000000,1714 SARAH ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.427731941664923,-79.981513315540496,170200
0012J00138000000,1715 LARKINS WAY PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.427570575378020,-79.981526714075116,170200
0012J00040000000,162 S 17TH ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426583009102494,-79.982504466582256,170200
0012J00019000000,161 S 16TH ST PITTSBURGH PA 15203,17TH WARD - PITTSBURGH,40.426534883041363,-79.982726068846333,170200
0012G00108000100,2341 SIDNEY ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.429404628704475,-79.971460204022904,160900
0012G00106000000,2349 SIDNEY ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.429383064309057,-79.971246405777251,160900
0012F00293000000,2123 SIDNEY ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.429572970657958,-79.975115167550385,160900
